image_path,num_instances,bounding_boxes
synthetic_data_new/synthetic_image_Oswald-Regular_426x110.png,3,"[(55, 52, 143, 42), (181, 3, 143, 42), (252, 52, 143, 42)]"
synthetic_data_new/synthetic_image_Oswald-Regular_436x82.png,8,"[(206, 45, 124, 37), (17, 0, 124, 37), (213, 3, 124, 37), (72, 42, 124, 37)]"
synthetic_data_new/synthetic_image_Oswald-Regular_460x86.png,5,"[(87, 32, 120, 36), (258, 39, 120, 36), (248, 1, 120, 36)]"
synthetic_data_new/synthetic_image_Oswald-Regular_473x90.png,8,"[(194, 17, 170, 50), (4, 22, 170, 50)]"
synthetic_data_new/synthetic_image_Oswald-Regular_318x85.png,8,"[(103, 32, 147, 44)]"
synthetic_data_new/synthetic_image_Oswald-Regular_381x103.png,3,"[(41, 16, 207, 60)]"
synthetic_data_new/synthetic_image_Oswald-Regular_453x103.png,1,"[(269, 31, 124, 37)]"
synthetic_data_new/synthetic_image_Oswald-Regular_411x113.png,8,"[(7, 53, 175, 51), (233, 25, 175, 51), (52, 1, 175, 51)]"
synthetic_data_new/synthetic_image_Oswald-Regular_361x99.png,8,"[(119, 37, 212, 62)]"
synthetic_data_new/synthetic_image_Oswald-Regular_498x107.png,6,"[(115, 38, 156, 46), (326, 44, 156, 46)]"
synthetic_data_new/synthetic_image_Oswald-Regular_317x82.png,4,"[(111, 18, 198, 58)]"
synthetic_data_new/synthetic_image_Oswald-Regular_350x83.png,8,"[(112, 30, 161, 47)]"
synthetic_data_new/synthetic_image_Oswald-Regular_429x114.png,9,"[(55, 40, 175, 51), (247, 60, 175, 51), (235, 0, 175, 51)]"
synthetic_data_new/synthetic_image_Oswald-Regular_449x86.png,9,"[(112, 20, 193, 57)]"
synthetic_data_new/synthetic_image_Oswald-Regular_321x120.png,7,"[(28, 55, 179, 53), (4, 1, 179, 53)]"
synthetic_data_new/synthetic_image_Oswald-Regular_457x113.png,4,"[(77, 13, 207, 60)]"
synthetic_data_new/synthetic_image_Oswald-Regular_376x112.png,8,"[(132, 37, 120, 36), (45, 74, 120, 36), (7, 34, 120, 36), (249, 0, 120, 36), (256, 43, 120, 36)]"
synthetic_data_new/synthetic_image_Oswald-Regular_412x109.png,4,"[(197, 9, 179, 53), (1, 23, 179, 53)]"
synthetic_data_new/synthetic_image_Oswald-Regular_475x95.png,7,"[(206, 29, 156, 46), (48, 31, 156, 46)]"
synthetic_data_new/synthetic_image_Oswald-Regular_404x81.png,10,"[(224, 23, 161, 47), (6, 4, 161, 47)]"
synthetic_data_new/synthetic_image_Oswald-Regular_322x107.png,3,"[(37, 1, 207, 60)]"
synthetic_data_new/synthetic_image_Oswald-Regular_495x99.png,5,"[(344, 13, 143, 42), (179, 6, 143, 42), (10, 36, 143, 42), (186, 57, 143, 42)]"
synthetic_data_new/synthetic_image_Oswald-Regular_399x91.png,2,"[(178, 32, 152, 45), (14, 37, 152, 45)]"
synthetic_data_new/synthetic_image_Oswald-Regular_370x113.png,10,"[(59, 12, 115, 34), (125, 64, 115, 34), (220, 20, 115, 34), (244, 72, 115, 34), (3, 54, 115, 34)]"
synthetic_data_new/synthetic_image_Oswald-Regular_328x84.png,7,"[(97, 0, 198, 58)]"
synthetic_data_new/synthetic_image_Oswald-Regular_316x113.png,8,"[(7, 38, 129, 38), (163, 48, 129, 38), (140, 4, 129, 38)]"
synthetic_data_new/synthetic_image_Oswald-Regular_500x116.png,1,"[(342, 22, 156, 46)]"
synthetic_data_new/synthetic_image_Oswald-Regular_397x91.png,1,"[(160, 50, 129, 38)]"
synthetic_data_new/synthetic_image_Oswald-Regular_372x111.png,3,"[(224, 63, 120, 36), (210, 16, 120, 36), (32, 50, 120, 36)]"
synthetic_data_new/synthetic_image_Oswald-Regular_454x88.png,8,"[(258, 24, 166, 48), (74, 10, 166, 48)]"
synthetic_data_new/synthetic_image_Oswald-Regular_336x114.png,2,"[(117, 70, 124, 37), (4, 13, 124, 37)]"
synthetic_data_new/synthetic_image_Oswald-Regular_424x113.png,6,"[(119, 46, 193, 57)]"
synthetic_data_new/synthetic_image_Oswald-Regular_320x94.png,6,"[(93, 23, 133, 39)]"
synthetic_data_new/synthetic_image_Oswald-Regular_344x92.png,7,"[(52, 8, 189, 55)]"
synthetic_data_new/synthetic_image_Oswald-Regular_493x103.png,10,"[(182, 30, 207, 60)]"
synthetic_data_new/synthetic_image_Oswald-Regular_416x80.png,4,"[(98, 13, 216, 64)]"
synthetic_data_new/synthetic_image_Oswald-Regular_433x101.png,6,"[(74, 5, 189, 55)]"
synthetic_data_new/synthetic_image_Oswald-Regular_386x93.png,5,"[(10, 40, 152, 45), (200, 34, 152, 45)]"
synthetic_data_new/synthetic_image_Oswald-Regular_341x91.png,10,"[(9, 25, 207, 60)]"
synthetic_data_new/synthetic_image_Oswald-Regular_396x107.png,8,"[(195, 51, 120, 36), (160, 13, 120, 36), (19, 10, 120, 36), (5, 66, 120, 36)]"
synthetic_data_new/synthetic_image_Oswald-Regular_495x116.png,6,"[(275, 26, 156, 46), (79, 1, 156, 46), (46, 53, 156, 46)]"
synthetic_data_new/synthetic_image_Oswald-Regular_435x81.png,10,"[(67, 33, 143, 42), (271, 23, 143, 42)]"
synthetic_data_new/synthetic_image_Oswald-Regular_456x103.png,5,"[(200, 27, 198, 58), (1, 10, 198, 58)]"
synthetic_data_new/synthetic_image_Oswald-Regular_322x117.png,8,"[(50, 16, 212, 62)]"
synthetic_data_new/synthetic_image_Oswald-Regular_333x114.png,8,"[(78, 29, 212, 62)]"
synthetic_data_new/synthetic_image_Oswald-Regular_303x82.png,8,"[(57, 1, 179, 53)]"
synthetic_data_new/synthetic_image_Oswald-Regular_333x106.png,10,"[(88, 26, 170, 50)]"
synthetic_data_new/synthetic_image_Oswald-Regular_402x112.png,5,"[(75, 48, 198, 58)]"
synthetic_data_new/synthetic_image_Oswald-Regular_435x103.png,5,"[(55, 23, 221, 65)]"
synthetic_data_new/synthetic_image_Oswald-Regular_335x113.png,2,"[(128, 47, 184, 54)]"
synthetic_data_new/synthetic_image_Oswald-Regular_390x96.png,2,"[(194, 14, 143, 42), (40, 21, 143, 42)]"
synthetic_data_new/synthetic_image_Oswald-Regular_490x101.png,2,"[(210, 22, 212, 62)]"
synthetic_data_new/synthetic_image_Oswald-Regular_431x100.png,10,"[(31, 0, 110, 33), (286, 32, 110, 33), (154, 65, 110, 33), (12, 67, 110, 33), (152, 14, 110, 33), (276, 67, 110, 33)]"
